pathway,Gene,mArray_pval,Nanostring_pval,RNAseq_padj_TCTfhvsB6Tfh,Nanostring_log2FC,mArray_log2FC,RNAseq_log2FC
chlolesterol biosynthesis ,Sqle,0.0235317,0.0395406,0.000245867,-0.9096271954686781,-0.4708543922491767,-0.753443843
chlolesterol biosynthesis ,Hsd17b7,0.00149462,0.00293117,1.66e-08,1.087320261989325,0.41030853776703613,0.981116205
chlolesterol biosynthesis ,Cyp51,0.00312145,0.0652392,3.54e-08,-0.3771348574219743,-0.31655126221435986,-0.584863465
Mitotic Roles of Polo-Like Kinase,Ptpn5,3.5200000000000003e-07,7.02e-07,5.239999999999998e-136,-4.940866781144139,-1.2863015883032305,-5.143455191
Mitotic Roles of Polo-Like Kinase,Cdc26,0.00379609,0.0465079,2.47e-06,-0.14123658152569446,-0.3085123251794247,-0.392742766
Protein Kinase A Signaling,Dusp6,0.010659,0.0174806,0.079869085,0.49930250247714536,0.406699923326545,0.500175089
cytokines,Csf1,5.41e-05,0.0398068,0.07735981900000001,0.6164800338548327,0.5862987790789863,0.27996693899999997
cytokines,Ccr4,0.00781643,0.00259578,3.13e-05,-0.7524060712153804,-0.49148371911690625,-0.706726188
cytokines,Il23r,0.031008299999999996,0.000742272,0.062993672,-2.2268044369045565,-0.489871717558411,-1.6479298880000002
innate,Camk2d,0.015632,0.0749696,6.39e-05,0.2779609500718967,0.19095613652104565,0.29639565100000004
TGFb pathway,Cd109,0.00101079,0.00518968,0.073639522,1.7576334884057656,1.2987228248761054,0.554055693
TGFb pathway,Lrig1,0.017769,0.000434721,2.82e-10,0.46108845464797826,0.29596981887473045,0.59656074
TGFb pathway,Itgae,0.00849744,0.0321572,0.027962342,1.0740326810513299,0.9136534628908781,0.78124093
TGFb pathway,Igf2r,0.015701,0.012080200000000001,0.014941712,-0.2348201129711729,-0.16421989952653354,-0.252213138
TGFb pathway,Smad4,0.0221457,0.0007716239999999999,2.59e-11,0.3419629826302218,0.2536504804502297,0.41373275600000003
TGFb pathway,Ppic,6.34e-05,0.053627999999999995,1.6899999999999997e-05,1.6374850511224033,0.7608681507834529,0.9253448000000001
SLAM family,Cd48,6.39e-05,0.00146926,1.6e-49,-0.638657749762697,-0.8019863641146177,-0.793494136
SLAM family,Slamf1,0.00186404,0.0856469,0.000832244,-0.4868585066375101,-0.3990945127140598,-0.348331751
miscellaneous,Cpt1c,0.00125518,3.69e-07,2.2099999999999996e-64,3.9963435485265695,1.6055085568685725,4.226538999
miscellaneous,Dhdh,0.0009106639999999999,5.21e-06,1.7199999999999998e-74,1.8920567871353862,1.0032424174886838,2.132708353
miscellaneous,Mtus1,0.0006071830000000001,0.000447076,1.359999999999999e-230,7.169764693087141,1.2721008475734947,7.117761735
miscellaneous,Pttg1,0.00360838,0.0021506,7.09e-14,-0.3806518821689031,-0.6466235084765828,-0.8691955809999999
transporter,Slc1a4,0.000773059,0.05590740000000001,0.0010478310000000002,1.6082415132627188,1.0463513589214453,1.158300478
transporter,Slc1a5,8.96e-06,4.24e-08,6.63e-32,-0.9932395858742022,-0.8798076922226182,-1.24807858
transporter,Slc6a16,7.6e-06,0.0159829,1.21e-13,2.2766634071338916,0.6598241141118733,8.528483552
transporter,Slc7a10,0.0107054,0.000627499,4.28e-06,-1.676610436390281,-0.7093700479436409,-0.730131132
transporter,Slc43a1,0.00406354,3.2500000000000004e-05,1.78e-17,-2.157819839478863,-0.9152914280234823,-2.104764652
transporter,Slc43a3,0.00368315,0.020936,0.020333125,-0.44876354507417393,-0.38609355836741027,-0.537081214
